date,amount,category,merchant,hour
2024-01-01,450,Food,Swiggy,13
2024-01-02,1200,Shopping,Amazon,22
2024-01-03,300,Transport,Uber,9
2024-01-04,800,Food,Zomato,23
2024-01-05,2500,Shopping,Myntra,21
2024-01-06,150,Transport,Rapido,8
2024-01-07,600,Entertainment,BookMyShow,19
2024-01-08,950,Food,Swiggy,22
2024-01-09,3200,Shopping,Amazon,23
2024-01-10,200,Transport,Uber,7
2024-01-11,750,Food,Zomato,20
2024-01-12,1800,Shopping,Flipkart,21
2024-01-13,100,Transport,Rapido,9
2024-01-14,500,Entertainment,Netflix,18
2024-01-15,420,Food,Swiggy,12
